x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y,Label
17,B,0.7310663732984578,78,A,0.042755185522017514,59,E,0.2474261968264203,4,84613.42677075841,B2C
89,A,0.9324277829788153,59,B,0.2841323629396526,7,B,0.05267777851972899,55,82776.87646265182,B2C
49,D,0.9478627716349608,23,A,0.866393380376566,43,D,0.05429422762847902,79,81134.53100996304,B2C
43,A,0.0003070750337554884,40,E,0.28833036248421084,58,D,0.12794109728725245,95,80460.7088476403,B2C
11,C,0.10546563000941944,39,A,0.08649307579282084,62,B,0.17228689391354302,65,79128.17438580473,B2C
5,A,0.2329920525459397,64,B,0.745965376524088,56,B,0.3937952665191362,41,78854.11954214663,B2C
16,B,0.39212785498678826,30,C,0.9174078143989841,71,C,0.8243473859149233,8,77936.69928077962,B2C
28,B,0.9780981193157132,79,A,0.5842392897883149,71,D,0.7477496315366798,51,77718.17645569574,B2C
21,E,0.15877628628726226,97,E,0.6131294785366633,2,E,0.43134835822534634,33,75921.64617178656,B2C
43,A,0.5022801292685278,7,B,0.05047369771076682,25,C,0.7488552349145273,91,75547.95029017267,B2C
23,C,0.3890607096186526,63,E,0.6644993783527191,26,D,0.8656575078434725,23,75477.61089645306,B2C
90,B,0.5633889305968313,36,A,0.17199525377472402,40,E,0.388092599090059,31,75354.8297265799,B2C
87,B,0.0005099890159435683,80,A,0.7378861824162857,55,A,0.8543966643062522,21,74983.85663087826,B2C
21,D,0.8316534876101951,61,B,0.16230589962033193,32,D,0.8536812868816237,8,74152.51728336778,B2C
42,C,0.8906403862806171,19,A,0.44169398714766905,36,E,0.6153503393155135,85,74149.92821188769,B2C
16,E,0.23168096542336458,44,A,0.4956300126262707,25,B,0.7285166243343448,83,74075.16203394101,B2C
61,B,0.16555317977469386,66,A,0.6397618036350985,77,A,0.5217559077272106,94,73988.49671504575,B2C
47,A,0.7981250480064295,24,B,0.2906166524443401,63,A,0.3309350066738628,49,73987.15132914027,B2C
44,D,0.44151869651086506,52,C,0.13401929574575877,45,D,0.8856528947594307,48,73286.99489205395,B2C
69,D,0.9829052328596898,44,D,0.3304566257154893,65,A,0.9898428312911868,21,73215.56663466283,B2C
30,D,0.6109517694362774,26,C,0.5559267965910145,72,E,0.8412882829415532,47,73058.22592173307,B2C
39,B,0.0814408673219329,22,E,0.2410783056204142,26,A,0.5482496506918623,8,72734.18297037683,B2C
4,E,0.5705528549499722,62,E,0.28805812314867507,80,A,0.6188124919542186,1,72567.74966129384,B2C
15,A,0.6897754559960694,28,E,0.8511355482209931,98,B,0.2892964559519515,47,72541.42870604293,B2C
59,A,0.3816092179827253,11,C,0.07434988155754207,54,C,0.18613114955121335,57,72146.07201218541,B2C
60,E,0.4557062844202975,85,D,0.34581458977214286,8,B,0.9923842825293897,61,72122.50532248578,B2C
86,B,0.7121089328535756,23,C,0.3775832008180313,65,E,0.15109551937925192,64,72104.24270844288,B2C
12,E,0.17420150867648287,88,D,0.5251256551131612,16,B,0.6879996211440641,75,71694.07775833078,B2C
62,A,0.49840754271320487,3,B,0.36060191357935123,62,E,0.6779707060060214,35,71525.77337638845,B2C
27,D,0.5969251357296542,16,C,0.0038003380729147995,91,C,0.518889089033459,14,71444.086715621,B2C
50,C,0.2283201737969427,31,D,0.348026493053496,85,B,0.1161059090769796,14,71400.58349767927,B2C
96,E,0.842627198862633,12,B,0.0250033097123169,55,A,0.870407290102308,55,71373.95388449507,B2C
63,D,0.9188528558831043,68,A,0.7492885415712184,4,C,0.5595570039209465,78,71307.54610199915,B2C
10,B,0.0895156997948855,44,B,0.9804236260839613,49,B,0.4466633918877,13,71225.42285115481,B2C
21,D,0.32498740955708616,47,A,0.3893828058518618,61,B,0.326834129427076,16,71219.72589698233,B2C
20,A,0.1589650940226306,25,D,0.41778081396778777,17,B,0.6469421469883938,48,71192.99174924113,B2C
83,A,0.6628030863757358,41,E,0.31145137382027,81,B,0.7573932834027498,54,71112.2469177816,B2C
32,E,0.30360504708709235,66,E,0.3565872716308053,78,B,0.6278549220279129,48,71026.3873964149,B2C
97,C,0.9886565549140125,28,B,0.9006240725048469,28,C,0.6083398929991,10,70994.92908703058,B2C
13,E,0.4199075476984676,34,A,0.7404044529120518,37,E,0.9602160853089958,31,70993.19159971812,B2C
49,A,0.8954756057523938,74,E,0.002484466369574667,55,B,0.3178723289884682,63,70587.57034853105,B2C
95,C,0.28944919430436933,49,A,0.8584003316245739,70,D,0.7973820672427258,52,70587.47104931714,B2C
75,E,0.9733070795003765,78,B,0.24599966817095165,59,C,0.7953224176163041,59,70557.95643761111,B2C
97,B,0.20889103424340494,32,D,0.7401193764538141,28,C,0.6595188273128846,6,70523.26086958428,B2C
58,A,0.8424664072126257,54,C,0.045927984152292156,25,C,0.5223151586336727,97,70437.74568925594,B2C
55,B,0.5518951394991458,22,C,0.7143900411385028,90,B,0.20253041972801933,4,70376.74052815774,B2C
34,D,0.8283690072301977,44,A,0.48793590491573624,60,A,0.055301585889300786,74,70346.05415041478,B2C
66,C,0.01603640003064577,29,E,0.7655277574406779,70,C,0.013817170990364613,48,70305.46070884887,B2C
73,B,0.9353822607327862,37,C,0.39272248963991263,95,D,0.4187898373933475,21,70231.95963675661,B2C
44,C,0.16422068745957075,4,E,0.27451197504263425,77,C,0.5848170808863692,28,70035.0238959162,B2C
36,D,0.394237736129301,60,A,0.6455326083408336,14,C,0.7782872523011868,54,70007.9535044963,B2C
29,A,0.7323490696478979,29,D,0.9405862283227774,30,D,0.8923176371198865,50,69764.03801017159,B2C
29,A,0.3218275081690799,90,D,0.9532268990066883,82,B,0.9469289813292784,11,69758.00643371383,B2C
75,C,0.01832616854519864,97,E,0.47997015193966397,96,C,0.33125101741851026,89,69705.42126935335,B2C
63,A,0.9890392417557957,11,A,0.15440498345272935,48,A,0.9362634356333166,19,69578.40099333748,B2C
48,D,0.5219158706823186,45,C,0.8486474162684481,71,A,0.7451948076587508,49,69363.74759097029,B2C
35,B,0.5736665975490097,67,C,0.9608994120683175,1,E,0.3785851631071444,30,69357.6892103033,B2C
31,D,0.25936582116749485,42,A,0.8861771635707026,57,B,0.995633351341769,31,69324.6985257986,B2C
66,D,0.23018127887125772,9,E,0.9650698911104829,46,E,0.8312125208057458,80,69160.07804409663,B2C
52,E,0.7771529082294736,45,E,0.06500236879837717,65,D,0.23203062384535178,18,69091.13769890831,B2C
58,E,0.6126612471519991,5,D,0.3007975085525736,5,A,0.49958674483185495,70,69042.12596352003,B2C
31,C,0.3394422057373845,64,C,0.9067916477364032,77,C,0.8942308668532413,58,69012.55447492751,B2C
72,A,0.3587978571573526,12,A,0.31503587126388266,78,E,0.7570373561858398,2,68974.30278631483,B2C
22,B,0.5588008343539963,38,D,0.41217800018668815,46,E,0.6412334437976625,74,68966.3045655911,B2C
61,E,0.5913425897986417,55,D,0.6703885297741475,46,A,0.6035648488992342,17,68677.19710680557,B2C
37,B,0.5080273155538209,40,C,0.04841644882968765,65,E,0.44685458168055825,47,68635.83307316853,B2C
78,B,0.9407524526450062,43,D,0.4812539790961142,42,B,0.06751576929917213,42,68593.39340031087,B2C
30,B,0.20771552172469143,84,E,0.6989148751655587,56,E,0.7809686042579368,67,68563.11825302574,B2C
71,C,0.819711622753325,17,E,0.39363272373679337,31,A,0.18661356892797698,27,68522.43472354133,B2C
44,B,0.08565039391541018,96,E,0.8526634336275619,89,C,0.6666336051002972,42,68286.37654050274,B2C
28,E,0.008486012083443017,51,E,0.4245011800656404,47,C,0.31740237618157563,65,68279.63280751709,B2C
45,E,0.8661889152655807,46,D,0.7498336138466634,40,B,0.35694797788978605,73,68157.2039358494,B2C
52,B,0.07202666573033634,79,B,0.8639818533042556,48,B,0.3169250166415214,4,68153.31379820363,B2C
48,B,0.8121045388640898,60,A,0.11565462238615332,86,B,0.7664747268552259,76,68103.35628580746,B2C
78,B,0.9021541886529115,22,E,0.16035652342331974,28,E,0.4765145262728119,64,67987.12766270415,B2C
18,D,0.4639465417220131,57,B,0.6465700551143536,97,A,0.3545914321628617,79,67963.26506955735,B2C
16,B,0.2387136918487337,79,C,0.2023840642007948,19,A,0.2980961999296454,10,67883.4676814046,B2C
38,C,0.6119808635302266,49,D,0.8782922162893867,54,B,0.316402420502774,7,67863.15909840075,B2C
11,C,0.9907621555393796,52,A,0.15256783126098772,64,A,0.5351925411471611,75,67774.22127865322,B2C
56,E,0.5246211016193748,32,E,0.7373813438870674,12,A,0.37122604623696087,55,67622.33876339691,B2C
16,E,0.7920192079401351,14,A,0.4398920715078196,54,A,0.18898131907785165,9,67568.38476287723,B2C
63,D,0.8626181017594305,43,E,0.024614935978468422,65,A,0.9237499910166088,97,67526.87238562632,B2C
64,A,0.5733137445715221,86,D,0.6746767278561449,33,D,0.5960848594197047,42,67481.53928436982,B2C
96,B,0.9582856281444737,8,D,0.1093208519866512,10,A,0.9988919631983497,1,67463.4358561389,B2C
92,B,0.9246009904217126,60,A,0.40929602852600466,3,B,0.6806411394056382,29,67361.45004661793,B2C
57,D,0.5183981907879688,10,B,0.41425209304157085,45,D,0.806240910714474,29,67357.59120562414,B2C
