x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y,Label
61,A,0.5955042152861028,40,A,0.7701262009980901,36,C,0.36749894310333286,39,-11978.588530903893,W2C
37,E,0.5140410915785326,40,E,0.20229833490693616,31,C,0.3888859923772905,87,-4828.723450945225,W2C
23,E,0.8034235690981628,91,C,0.9227478351374852,12,C,0.1967950467570745,48,-2251.2265277631086,W2C
25,B,0.9736076488006986,64,D,0.7981262176864399,58,B,0.022706316886867195,95,-2119.2314177271255,W2C
24,E,0.02446470275893342,67,E,0.9027445370153023,44,B,0.665498262669918,52,-1551.0461549368265,W2C
79,D,0.06317804995381937,46,C,0.9856363508492285,5,C,0.021684861846444248,59,-251.50548131125834,W2C
46,D,0.5683627588475938,58,B,0.42713002509557996,57,B,0.27700158585084256,73,184.49895275748713,W2C
47,E,0.6456467922587327,67,A,0.5699557614762008,19,B,0.28073474217542915,12,656.9855788896093,W2C
1,D,0.6951310490184183,97,C,0.17459971858024292,14,B,0.799272183620035,3,706.8267025641035,W2C
76,A,0.2923725843302546,6,B,0.7266172452740077,39,E,0.6435910669585375,99,899.505385859884,W2C
16,D,0.22126999862588093,80,C,0.8472840486413036,62,B,0.7934907105441765,20,1297.1729515730476,W2C
3,A,0.033196315065561754,50,C,0.9693274629715809,34,A,0.36183548580639346,95,1306.308254842581,W2C
65,D,0.028631704733641516,0,E,0.2656551426391174,86,A,0.5727516437501641,92,1676.2506537839363,W2C
95,A,0.4312369913906071,93,A,0.24096183502250756,47,B,0.6008950500489241,82,2054.6947636262703,W2C
93,C,0.6387105817628745,10,D,0.25364508219896165,64,E,0.9335115922420598,15,2057.739765306833,W2C
89,B,0.7171194855322923,46,A,0.8257708623510064,63,B,0.6241790971696337,22,2237.9620810180786,W2C
54,C,0.4362671348044198,64,B,0.9193054565263097,34,C,0.15137203265928545,0,2449.8005222496286,W2C
58,C,0.86952608331733,60,D,0.5846375004849556,9,D,0.17902874247449108,8,3098.655303464082,W2C
46,D,0.9224765337809797,77,C,0.7520664439290609,56,B,0.6772581929956171,43,3134.0283697922423,W2C
81,D,0.905142149645767,2,B,0.6833439854989096,99,B,0.7344374078796595,56,3562.2953865925083,W2C
94,B,0.3348752761329502,23,B,0.1370781674983208,19,C,0.9492089863073983,2,3637.0040579804554,W2C
99,C,0.7982852766484908,0,B,0.8386227499122121,65,A,0.5201386452999579,60,3746.6947856938714,W2C
99,A,0.9415362460384926,21,D,0.24241159399302747,72,C,0.7196424013330508,74,3831.8334117269114,W2C
16,D,0.5271545895806339,55,C,0.468811372400742,13,B,0.7389917407128296,80,4073.58483664519,W2C
92,D,0.4967761755877278,14,B,0.3403748706200561,72,B,0.6435277979376846,79,4152.186367363633,W2C
83,C,0.022250125495225204,98,C,0.4832274150119079,3,C,0.822731951195336,3,4521.374114987404,W2C
12,E,0.1164627488916321,52,C,0.9555665751697674,98,D,0.09049530043077436,33,4755.1965787071895,W2C
68,A,0.4113226968232696,94,C,0.6387921898206844,18,D,0.6823807348376275,88,4838.532458938236,W2C
85,B,0.38221926762289105,88,E,0.09439932257561257,23,C,0.0627543304705318,5,4984.134980215487,W2C
97,D,0.8111085143428247,52,D,0.19273770425109682,48,A,0.20553828469295976,3,5081.367800818851,W2C
32,D,0.6301855690545725,94,A,0.23942497073030322,28,B,0.8068766139246706,87,5085.848184524984,W2C
90,D,0.972340376595683,50,A,0.05638970700687229,83,E,0.9602439334483366,3,5337.341408217784,W2C
14,D,0.04201859126635965,42,E,0.5906093456327969,1,C,0.8075147175000643,84,5478.619874511351,W2C
50,A,0.26724697507105233,48,B,0.049798459254432936,51,C,0.03262251360104129,11,5511.567623369156,W2C
99,D,0.5739747104683102,56,C,0.23187516957049725,95,A,0.32229239544123345,74,5637.848843551623,W2C
73,E,0.36601339184015114,62,C,0.09954923349953859,45,A,0.2388284549093096,11,5812.155314766154,W2C
36,D,0.1555400915004873,35,B,0.8259405594964668,68,B,0.9344997790115172,71,5942.364022267724,W2C
32,E,0.226338278437486,16,A,0.9257102408562344,49,E,0.701295978638867,0,5967.082793279918,W2C
28,C,0.9374671878137444,39,E,0.2785131389244698,96,D,0.3167360743917321,6,6121.5616660724045,W2C
32,D,0.7421790382951564,38,C,0.004634185938863222,86,D,0.11705027370359511,79,6255.943142969612,W2C
4,C,0.5605980707077789,55,E,0.8310942784614958,84,D,0.4244373012958731,59,6268.238823663065,W2C
61,E,0.5844414641406359,81,C,0.2923202796484642,77,C,0.721578004790515,16,6447.683894767117,W2C
91,C,0.04773378967875608,12,C,0.714625883420646,17,C,0.4580477927103652,44,6460.726886054039,W2C
67,C,0.43331949023289684,8,A,0.7727658286860162,37,D,0.7338646963579187,18,6473.31490510494,W2C
64,B,0.030541978149738358,76,D,0.5678502842670208,87,D,0.47993286706366745,75,6476.923751025548,W2C
92,D,0.22177550978089067,53,E,0.4404106437417473,16,A,0.8497847491411552,44,6553.5653072621535,W2C
38,D,0.42280347244881844,70,D,0.6478668052563556,4,B,0.998622145766988,78,6610.455279074398,W2C
83,C,0.4453196182237519,34,C,0.2671572005751427,8,A,0.6255540552717033,20,6810.022158455769,W2C
0,C,0.6745037787662376,12,A,0.87759715785813,85,D,0.2246987428531778,71,6881.027153718685,W2C
31,B,0.2371943511339355,12,D,0.0947418755868058,62,B,0.628414666712257,25,7065.031024521955,W2C
98,A,0.8631873483680562,11,A,0.720352958386703,73,B,0.9985246449493714,25,7066.672818659052,W2C
44,B,0.9281321860154439,25,C,0.5071505750108568,74,B,0.19272743490335054,40,7111.171008906353,W2C
60,C,0.6353995574791123,54,E,0.4387679671562884,95,C,0.6919349870571638,91,7281.326064595363,W2C
19,D,0.4292558745958369,92,D,0.9602997206233129,77,A,0.5117990605316475,16,7398.276091457512,W2C
85,C,0.20400863651076706,37,B,0.4604610100167795,35,E,0.5134298841813639,32,7425.9446400063425,W2C
64,C,0.23437158640380573,52,D,0.5285685079627853,2,B,0.41893666325447354,40,7596.352479129713,W2C
40,D,0.28442032390379157,83,B,0.6506915516333056,48,B,0.6110449571784767,78,7838.207218509706,W2C
48,B,0.8874074739689635,62,D,0.3746175112738861,77,C,0.4371961474432654,40,7961.993778897526,W2C
1,B,0.3742644678507342,87,C,0.8460339714897869,96,C,0.2005226109132312,38,8037.7473447692355,W2C
7,A,0.572670583191121,57,A,0.1684045045467143,82,B,0.8227399488268741,92,8039.5210562602515,W2C
98,B,0.5343879642857668,66,D,0.5268204890519768,99,A,0.5125566185664424,27,8139.046997169258,W2C
28,A,0.9296974986654456,8,B,0.5701228414854154,45,C,0.568416535617164,12,8150.1178980498335,W2C
60,E,0.825973669583487,88,D,0.19269679272416895,30,A,0.8676628291486751,4,8166.664895131951,W2C
15,C,0.28153504010689434,77,B,0.7312478041271315,93,A,0.8425079412233755,82,8179.327504177541,W2C
90,A,0.13105574342166748,33,E,0.676561522669848,62,C,0.4265593920686408,27,8257.160101310375,W2C
92,E,0.7645165610361319,28,D,0.36229790550126495,68,D,0.1905371204414904,95,8273.088418857315,W2C
11,B,0.2120433621929596,73,B,0.9969113439068895,99,D,0.3110054872914795,84,8295.705031531343,W2C
73,B,0.5626667806563331,59,C,0.7040621292843207,30,C,0.7734367524288334,80,8368.444431659442,W2C
91,A,0.011269446189398291,96,B,0.4011656970679195,58,B,0.232195275565526,29,8383.938245377987,W2C
4,A,0.6638101052502828,47,D,0.044364242553260214,90,E,0.6246690653988128,10,8415.482638305006,W2C
1,B,0.6742402806643377,83,E,0.7311214943922812,99,A,0.12448652077384037,35,8419.565790207387,W2C
12,E,0.975576634435559,24,B,0.30949948389720494,53,A,0.029705131037502608,65,8420.660095574534,W2C
23,E,0.2959238110626332,6,E,0.5261987984685289,9,D,0.16554007822474726,90,8595.611522619398,W2C
98,B,0.5900933994880078,88,B,0.6363677552717731,17,C,0.31979303029129846,0,8674.490089473526,W2C
53,B,0.14817773032947368,94,D,0.45490800592878233,58,D,0.7498192076782529,67,8701.240276223823,W2C
16,D,0.39324646479203773,63,D,0.3422968460046978,6,D,0.18209214534304685,23,8704.990149077465,W2C
93,B,0.12236482876602428,75,A,0.9055797753564362,89,A,0.8846975700428652,37,8725.6763398814,W2C
43,D,0.745220126691518,48,E,0.5315914567348103,42,D,0.7682010953414372,14,8776.286906084817,W2C
28,C,0.19303616221432107,89,B,0.724412245320069,51,E,0.9183981849842745,97,8913.069894819797,W2C
13,B,0.9174652255548038,64,A,0.5408830029501016,40,B,0.2911521922269835,10,8984.366864905478,W2C
48,C,0.9625287065865553,5,B,0.9609808168996606,79,C,0.032612323304415214,28,9027.411399401994,W2C
33,D,0.47932527777151546,21,A,0.6440088220539092,8,E,0.7861500672955101,12,9034.205188108794,W2C
76,D,0.5281400572737537,46,A,0.3820289909337884,86,E,0.9817934146013452,10,9050.112063524288,W2C
14,C,0.6549035322851401,1,D,0.6239782524752978,87,A,0.603323629002106,39,9051.905874861051,W2C
11,B,0.4133125614011103,76,C,0.04866865876179982,57,C,0.7179124285673626,73,9129.815652368328,W2C
5,B,0.30108718046521366,12,A,0.4734645011043682,54,C,0.19383818727885893,13,9264.409953598362,W2C
35,B,0.07930247475338636,38,B,0.009782935793835268,78,B,0.17408299568920804,72,9301.15507129635,W2C
63,A,0.7733531134834296,63,D,0.3318545353909603,85,E,0.2663054366934511,50,9319.576691718055,W2C
46,B,0.04147986289445238,48,D,0.15347724320977085,82,D,0.018276464141310234,48,9373.599523881709,W2C
84,D,0.4895395420941543,91,A,0.1705757313896441,75,C,0.09292847481624544,50,9426.73784358113,W2C
42,D,0.5509622214187242,69,D,0.5398293228683627,36,A,0.8409362646397617,20,9469.272853947103,W2C
95,D,0.1057352679264505,85,C,0.932364634469886,20,D,0.6318859968545918,6,9551.104009995037,W2C
66,D,0.23602760519282517,98,E,0.019425504177490782,77,B,0.3645712105139314,18,9559.65952297427,W2C
75,B,0.12442337690721328,18,A,0.9831502490286089,53,B,0.36702537336094687,84,9591.025406068591,W2C
25,E,0.5884438276405232,58,D,0.001365364838952443,71,E,0.5675411582031937,73,9621.04791905342,W2C
43,E,0.49329358056269235,71,B,0.6432440575002182,52,D,0.258938493713201,47,9692.833724400665,W2C
7,E,0.6742101603876477,37,E,0.4325137910573118,54,B,0.5079837278591283,53,9725.8904568652,W2C
3,A,0.8324923700561442,99,E,0.7258270093363218,70,B,0.09841229257412343,36,9746.83259708518,W2C
69,E,0.0753842546437552,52,B,0.9339993900936365,34,A,0.7482191796815088,9,9811.389745601635,W2C
89,D,0.8769888309739855,85,B,0.24513206837455304,50,D,0.5353946457537612,36,9823.124385654184,W2C
66,B,0.859357478516452,40,B,0.27989169265086866,78,E,0.5352170703470671,12,9826.195737659145,W2C
51,C,0.5395229435126496,58,B,0.36751731537451926,78,D,0.6463435472978527,28,9889.704677711736,W2C
1,A,0.9358127584827265,62,B,0.8882641562790223,6,D,0.9951468797123554,3,9911.450761144268,W2C
8,E,0.9490047866727734,85,B,0.5923344856148842,52,E,0.340837450776448,64,9944.43026277122,W2C
21,C,0.8540154152059414,16,C,0.1167618995495543,61,E,0.15272505131544167,29,9968.748706675684,W2C
53,E,0.28391829091838905,63,B,0.15437517219464503,23,B,0.35363180194596366,12,10018.685978933303,W2C
95,D,0.24965009275830274,50,B,0.7772719548861314,38,E,0.516799857011912,78,10039.096598574451,W2C
3,E,0.2762181685109498,2,A,0.42999491345936813,16,E,0.9823706243563979,43,10221.927867926108,W2C
36,A,0.5351302003196929,23,B,0.5991438591565057,35,E,0.03928274292052547,66,10291.181357887941,W2C
44,D,0.31578538343987894,30,A,0.6441743318670474,41,D,0.8165392075742577,98,10388.930646046563,W2C
93,E,0.6870884721037042,98,A,0.9178755811186461,45,B,0.3408490916843163,89,10414.60295558966,W2C
89,E,0.5036870356947338,41,D,0.9981074738706383,45,C,0.3631247107734441,53,10428.127357955167,W2C
80,C,0.7932396998405684,84,E,0.32398005464878166,67,E,0.7915530115032727,83,10450.892375112002,W2C
96,B,0.6003546855090818,5,C,0.0263685333427911,81,C,0.3474909823997637,82,10485.739319562577,W2C
47,C,0.8523554603874851,80,A,0.3096334338083867,61,C,0.3289469829046314,32,10511.880088672864,W2C
24,A,0.3879350756788693,51,A,0.5485815211033868,83,D,0.946700317994948,88,10553.424268338316,W2C
82,C,0.5097504116137672,48,C,0.5950978170830447,1,A,0.9723336138120849,56,10686.316703812005,W2C
59,D,0.6813655755805597,80,D,0.4284155665731425,59,A,0.8674607363964899,42,10769.767928230165,W2C
62,C,0.505840862459059,23,B,0.24743811517426162,88,D,0.02124496719173108,61,10790.500384608218,W2C
4,C,0.8762232931316409,92,A,0.323681418557598,14,C,0.5241238498885746,52,10885.123779977017,W2C
