x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y,Label
17,B,0.7310663732984578,78,A,0.042755185522017514,59,E,0.2474261968264203,4,1,B4C
89,A,0.9324277829788153,59,B,0.2841323629396526,7,B,0.05267777851972899,55,1,B4C
49,D,0.9478627716349608,23,A,0.866393380376566,43,D,0.05429422762847902,79,1,B4C
43,A,0.0003070750337554884,40,E,0.28833036248421084,58,D,0.12794109728725245,95,1,B4C
11,C,0.10546563000941944,39,A,0.08649307579282084,62,B,0.17228689391354302,65,1,B4C
5,A,0.2329920525459397,64,B,0.745965376524088,56,B,0.3937952665191362,41,1,B4C
16,B,0.39212785498678826,30,C,0.9174078143989841,71,C,0.8243473859149233,8,1,B4C
28,B,0.9780981193157132,79,A,0.5842392897883149,71,D,0.7477496315366798,51,1,B4C
21,E,0.15877628628726226,97,E,0.6131294785366633,2,E,0.43134835822534634,33,1,B4C
43,A,0.5022801292685278,7,B,0.05047369771076682,25,C,0.7488552349145273,91,1,B4C
23,C,0.3890607096186526,63,E,0.6644993783527191,26,D,0.8656575078434725,23,1,B4C
90,B,0.5633889305968313,36,A,0.17199525377472402,40,E,0.388092599090059,31,1,B4C
87,B,0.0005099890159435683,80,A,0.7378861824162857,55,A,0.8543966643062522,21,1,B4C
21,D,0.8316534876101951,61,B,0.16230589962033193,32,D,0.8536812868816237,8,1,B4C
42,C,0.8906403862806171,19,A,0.44169398714766905,36,E,0.6153503393155135,85,1,B4C
16,E,0.23168096542336458,44,A,0.4956300126262707,25,B,0.7285166243343448,83,1,B4C
61,B,0.16555317977469386,66,A,0.6397618036350985,77,A,0.5217559077272106,94,1,B4C
47,A,0.7981250480064295,24,B,0.2906166524443401,63,A,0.3309350066738628,49,1,B4C
44,D,0.44151869651086506,52,C,0.13401929574575877,45,D,0.8856528947594307,48,1,B4C
69,D,0.9829052328596898,44,D,0.3304566257154893,65,A,0.9898428312911868,21,1,B4C
30,D,0.6109517694362774,26,C,0.5559267965910145,72,E,0.8412882829415532,47,1,B4C
39,B,0.0814408673219329,22,E,0.2410783056204142,26,A,0.5482496506918623,8,1,B4C
4,E,0.5705528549499722,62,E,0.28805812314867507,80,A,0.6188124919542186,1,1,B4C
15,A,0.6897754559960694,28,E,0.8511355482209931,98,B,0.2892964559519515,47,1,B4C
59,A,0.3816092179827253,11,C,0.07434988155754207,54,C,0.18613114955121335,57,1,B4C
60,E,0.4557062844202975,85,D,0.34581458977214286,8,B,0.9923842825293897,61,1,B4C
86,B,0.7121089328535756,23,C,0.3775832008180313,65,E,0.15109551937925192,64,1,B4C
12,E,0.17420150867648287,88,D,0.5251256551131612,16,B,0.6879996211440641,75,1,B4C
62,A,0.49840754271320487,3,B,0.36060191357935123,62,E,0.6779707060060214,35,1,B4C
27,D,0.5969251357296542,16,C,0.0038003380729147995,91,C,0.518889089033459,14,1,B4C
50,C,0.2283201737969427,31,D,0.348026493053496,85,B,0.1161059090769796,14,1,B4C
96,E,0.842627198862633,12,B,0.0250033097123169,55,A,0.870407290102308,55,1,B4C
63,D,0.9188528558831043,68,A,0.7492885415712184,4,C,0.5595570039209465,78,1,B4C
10,B,0.0895156997948855,44,B,0.9804236260839613,49,B,0.4466633918877,13,1,B4C
21,D,0.32498740955708616,47,A,0.3893828058518618,61,B,0.326834129427076,16,1,B4C
20,A,0.1589650940226306,25,D,0.41778081396778777,17,B,0.6469421469883938,48,1,B4C
83,A,0.6628030863757358,41,E,0.31145137382027,81,B,0.7573932834027498,54,1,B4C
32,E,0.30360504708709235,66,E,0.3565872716308053,78,B,0.6278549220279129,48,1,B4C
97,C,0.9886565549140125,28,B,0.9006240725048469,28,C,0.6083398929991,10,1,B4C
13,E,0.4199075476984676,34,A,0.7404044529120518,37,E,0.9602160853089958,31,1,B4C
49,A,0.8954756057523938,74,E,0.002484466369574667,55,B,0.3178723289884682,63,1,B4C
95,C,0.28944919430436933,49,A,0.8584003316245739,70,D,0.7973820672427258,52,1,B4C
75,E,0.9733070795003765,78,B,0.24599966817095165,59,C,0.7953224176163041,59,1,B4C
97,B,0.20889103424340494,32,D,0.7401193764538141,28,C,0.6595188273128846,6,1,B4C
58,A,0.8424664072126257,54,C,0.045927984152292156,25,C,0.5223151586336727,97,1,B4C
55,B,0.5518951394991458,22,C,0.7143900411385028,90,B,0.20253041972801933,4,1,B4C
34,D,0.8283690072301977,44,A,0.48793590491573624,60,A,0.055301585889300786,74,1,B4C
66,C,0.01603640003064577,29,E,0.7655277574406779,70,C,0.013817170990364613,48,1,B4C
73,B,0.9353822607327862,37,C,0.39272248963991263,95,D,0.4187898373933475,21,1,B4C
44,C,0.16422068745957075,4,E,0.27451197504263425,77,C,0.5848170808863692,28,1,B4C
36,D,0.394237736129301,60,A,0.6455326083408336,14,C,0.7782872523011868,54,1,B4C
29,A,0.7323490696478979,29,D,0.9405862283227774,30,D,0.8923176371198865,50,1,B4C
29,A,0.3218275081690799,90,D,0.9532268990066883,82,B,0.9469289813292784,11,1,B4C
75,C,0.01832616854519864,97,E,0.47997015193966397,96,C,0.33125101741851026,89,1,B4C
63,A,0.9890392417557957,11,A,0.15440498345272935,48,A,0.9362634356333166,19,1,B4C
48,D,0.5219158706823186,45,C,0.8486474162684481,71,A,0.7451948076587508,49,1,B4C
35,B,0.5736665975490097,67,C,0.9608994120683175,1,E,0.3785851631071444,30,1,B4C
31,D,0.25936582116749485,42,A,0.8861771635707026,57,B,0.995633351341769,31,1,B4C
66,D,0.23018127887125772,9,E,0.9650698911104829,46,E,0.8312125208057458,80,1,B4C
52,E,0.7771529082294736,45,E,0.06500236879837717,65,D,0.23203062384535178,18,1,B4C
58,E,0.6126612471519991,5,D,0.3007975085525736,5,A,0.49958674483185495,70,1,B4C
31,C,0.3394422057373845,64,C,0.9067916477364032,77,C,0.8942308668532413,58,1,B4C
72,A,0.3587978571573526,12,A,0.31503587126388266,78,E,0.7570373561858398,2,1,B4C
22,B,0.5588008343539963,38,D,0.41217800018668815,46,E,0.6412334437976625,74,1,B4C
61,E,0.5913425897986417,55,D,0.6703885297741475,46,A,0.6035648488992342,17,1,B4C
37,B,0.5080273155538209,40,C,0.04841644882968765,65,E,0.44685458168055825,47,1,B4C
78,B,0.9407524526450062,43,D,0.4812539790961142,42,B,0.06751576929917213,42,1,B4C
30,B,0.20771552172469143,84,E,0.6989148751655587,56,E,0.7809686042579368,67,1,B4C
71,C,0.819711622753325,17,E,0.39363272373679337,31,A,0.18661356892797698,27,1,B4C
