grafo,nodo,grado,tipo,origen,destino,peso,distancia
B2C_directa_MST,x_3,1,nodo,,,,
B2C_directa_MST,x_9,1,nodo,,,,
B2C_directa_MST,x_10,1,nodo,,,,
B2C_directa_MST,x_11,3,nodo,,,,
B2C_directa_MST,x_12,1,nodo,,,,
B2C_directa_MST,x_15,1,nodo,,,,
B2C_directa_MST,x_17,1,nodo,,,,
B2C_directa_MST,x_18,2,nodo,,,,
B2C_directa_MST,x_20,1,nodo,,,,
B2C_directa_MST,x_21,3,nodo,,,,
B2C_directa_MST,x_22,1,nodo,,,,
B2C_directa_MST,x_24,2,nodo,,,,
B2C_directa_MST,x_27,1,nodo,,,,
B2C_directa_MST,x_30,1,nodo,,,,
B2C_directa_MST,x_32,1,nodo,,,,
B2C_directa_MST,x_33,1,nodo,,,,
B2C_directa_MST,x_37,1,nodo,,,,
B2C_directa_MST,x_38,1,nodo,,,,
B2C_directa_MST,x_39,3,nodo,,,,
B2C_directa_MST,target_y,3,nodo,,,,
B2C_directa_MST,,,arista,x_3,x_9,0.7250116048689449,0.2749883951310551
B2C_directa_MST,,,arista,x_10,x_11,0.8640349187189873,0.1359650812810127
B2C_directa_MST,,,arista,x_11,target_y,0.7801681743997132,0.2198318256002868
B2C_directa_MST,,,arista,x_11,x_12,0.8125458023730783,0.18745419762692173
B2C_directa_MST,,,arista,x_15,x_18,0.7230526439240599,0.2769473560759401
B2C_directa_MST,,,arista,x_17,x_18,0.7104878812179407,0.2895121187820593
B2C_directa_MST,,,arista,x_20,x_21,0.8173825161647778,0.18261748383522225
B2C_directa_MST,,,arista,x_21,target_y,0.7595416077454709,0.24045839225452914
B2C_directa_MST,,,arista,x_21,x_22,0.8536007020785494,0.14639929792145057
B2C_directa_MST,,,arista,x_24,x_30,0.8510439471508944,0.14895605284910562
B2C_directa_MST,,,arista,x_24,x_27,0.8601191422028138,0.13988085779718618
B2C_directa_MST,,,arista,x_32,x_33,0.7060596441855373,0.29394035581446265
B2C_directa_MST,,,arista,x_37,x_39,0.7238113365555733,0.2761886634444267
B2C_directa_MST,,,arista,x_38,x_39,0.7821418055407732,0.21785819445922683
B2C_directa_MST,,,arista,x_39,target_y,0.8638551868465472,0.13614481315345284
