grafo,nodo,grado,tipo,origen,destino,peso,distancia
B4C_mixto_MST,x1,1,nodo,,,,
B4C_mixto_MST,x2,4,nodo,,,,
B4C_mixto_MST,x3,1,nodo,,,,
B4C_mixto_MST,x4,1,nodo,,,,
B4C_mixto_MST,x5,5,nodo,,,,
B4C_mixto_MST,x6,2,nodo,,,,
B4C_mixto_MST,x7,1,nodo,,,,
B4C_mixto_MST,x8,2,nodo,,,,
B4C_mixto_MST,x9,1,nodo,,,,
B4C_mixto_MST,x10,1,nodo,,,,
B4C_mixto_MST,y,1,nodo,,,,
B4C_mixto_MST,,,arista,x1,x2,0.036509066846458715,0.9634909331535413
B4C_mixto_MST,,,arista,x2,x5,0.030307304754144337,0.9696926952458557
B4C_mixto_MST,,,arista,x2,x6,0.03383071764635459,0.9661692823536454
B4C_mixto_MST,,,arista,x2,x8,0.03640016927472134,0.9635998307252787
B4C_mixto_MST,,,arista,x3,x5,0.03058216879236919,0.9694178312076308
B4C_mixto_MST,,,arista,x4,x5,0.03800035962524739,0.9619996403747526
B4C_mixto_MST,,,arista,x5,x9,0.03550049703261304,0.964499502967387
B4C_mixto_MST,,,arista,x5,x7,0.03880551860345516,0.9611944813965448
B4C_mixto_MST,,,arista,x6,y,0.03150161272846019,0.9684983872715398
B4C_mixto_MST,,,arista,x8,x10,0.04031624948386159,0.9596837505161384
