grafo,nodo,grado,tipo,origen,destino,peso,distancia
W2C_directa_MST,x_3,1,nodo,,,,
W2C_directa_MST,x_9,1,nodo,,,,
W2C_directa_MST,x_10,1,nodo,,,,
W2C_directa_MST,x_11,3,nodo,,,,
W2C_directa_MST,x_12,1,nodo,,,,
W2C_directa_MST,x_15,1,nodo,,,,
W2C_directa_MST,x_18,1,nodo,,,,
W2C_directa_MST,x_20,1,nodo,,,,
W2C_directa_MST,x_21,3,nodo,,,,
W2C_directa_MST,x_22,1,nodo,,,,
W2C_directa_MST,x_24,3,nodo,,,,
W2C_directa_MST,x_27,1,nodo,,,,
W2C_directa_MST,x_30,1,nodo,,,,
W2C_directa_MST,x_36,1,nodo,,,,
W2C_directa_MST,x_37,1,nodo,,,,
W2C_directa_MST,x_38,1,nodo,,,,
W2C_directa_MST,x_39,5,nodo,,,,
W2C_directa_MST,target_y,3,nodo,,,,
W2C_directa_MST,,,arista,x_3,x_9,0.7221727979902379,0.2778272020097621
W2C_directa_MST,,,arista,x_10,x_11,0.8557907853758302,0.1442092146241698
W2C_directa_MST,,,arista,x_11,target_y,0.7935305858229892,0.2064694141770108
W2C_directa_MST,,,arista,x_11,x_12,0.8021276707747286,0.19787232922527143
W2C_directa_MST,,,arista,x_15,x_18,0.7033971349653076,0.29660286503469235
W2C_directa_MST,,,arista,x_20,x_21,0.8107204720196046,0.18927952798039538
W2C_directa_MST,,,arista,x_21,target_y,0.7646366730362508,0.23536332696374918
W2C_directa_MST,,,arista,x_21,x_22,0.870488906409875,0.12951109359012503
W2C_directa_MST,,,arista,x_24,x_39,0.7217476920989652,0.27825230790103483
W2C_directa_MST,,,arista,x_24,x_30,0.843742429133503,0.15625757086649705
W2C_directa_MST,,,arista,x_24,x_27,0.8512175368337798,0.14878246316622024
W2C_directa_MST,,,arista,x_36,x_39,0.7058920822285224,0.2941079177714776
W2C_directa_MST,,,arista,x_37,x_39,0.7502019731074038,0.24979802689259623
W2C_directa_MST,,,arista,x_38,x_39,0.8046832090083887,0.19531679099161126
W2C_directa_MST,,,arista,x_39,target_y,0.8689219819366771,0.13107801806332287
