grafo,nodo,grado,tipo,origen,destino,peso,distancia
W4C_mixto_MST,x1,1,nodo,,,,
W4C_mixto_MST,x2,1,nodo,,,,
W4C_mixto_MST,x3,2,nodo,,,,
W4C_mixto_MST,x4,2,nodo,,,,
W4C_mixto_MST,x5,4,nodo,,,,
W4C_mixto_MST,x6,1,nodo,,,,
W4C_mixto_MST,x7,1,nodo,,,,
W4C_mixto_MST,x8,2,nodo,,,,
W4C_mixto_MST,x9,3,nodo,,,,
W4C_mixto_MST,x10,0,nodo,,,,
W4C_mixto_MST,y,1,nodo,,,,
W4C_mixto_MST,,,arista,x1,x5,0.03452340298441403,0.965476597015586
W4C_mixto_MST,,,arista,x2,x4,0.0382573762154782,0.9617426237845218
W4C_mixto_MST,,,arista,x3,x5,0.03666028986389214,0.9633397101361079
W4C_mixto_MST,,,arista,x3,x7,0.041259614290618196,0.9587403857093818
W4C_mixto_MST,,,arista,x4,x8,0.035336922500516454,0.9646630774994835
W4C_mixto_MST,,,arista,x5,x9,0.030443057919457117,0.9695569420805429
W4C_mixto_MST,,,arista,x5,y,0.03911806291152664,0.9608819370884734
W4C_mixto_MST,,,arista,x6,x9,0.03711281536252309,0.9628871846374769
W4C_mixto_MST,,,arista,x8,x9,0.03595918801138931,0.9640408119886107
