grafo,nodo,grado,tipo,origen,destino,peso,distancia
df_original_directa_MST,x_3,1,nodo,,,,
df_original_directa_MST,x_5,2,nodo,,,,
df_original_directa_MST,x_6,1,nodo,,,,
df_original_directa_MST,x_7,3,nodo,,,,
df_original_directa_MST,x_9,1,nodo,,,,
df_original_directa_MST,x_10,1,nodo,,,,
df_original_directa_MST,x_11,6,nodo,,,,
df_original_directa_MST,x_12,1,nodo,,,,
df_original_directa_MST,x_15,1,nodo,,,,
df_original_directa_MST,x_16,1,nodo,,,,
df_original_directa_MST,x_17,2,nodo,,,,
df_original_directa_MST,x_18,1,nodo,,,,
df_original_directa_MST,x_20,1,nodo,,,,
df_original_directa_MST,x_21,10,nodo,,,,
df_original_directa_MST,x_22,1,nodo,,,,
df_original_directa_MST,x_24,6,nodo,,,,
df_original_directa_MST,x_27,1,nodo,,,,
df_original_directa_MST,x_30,1,nodo,,,,
df_original_directa_MST,x_31,1,nodo,,,,
df_original_directa_MST,x_32,2,nodo,,,,
df_original_directa_MST,x_33,1,nodo,,,,
df_original_directa_MST,x_34,1,nodo,,,,
df_original_directa_MST,x_35,1,nodo,,,,
df_original_directa_MST,x_36,1,nodo,,,,
df_original_directa_MST,x_37,1,nodo,,,,
df_original_directa_MST,x_38,1,nodo,,,,
df_original_directa_MST,x_39,1,nodo,,,,
df_original_directa_MST,target_y,3,nodo,,,,
df_original_directa_MST,,,arista,x_3,x_21,0.7141300098140703,0.28586999018592973
df_original_directa_MST,,,arista,x_5,x_21,0.7035777770254792,0.2964222229745208
df_original_directa_MST,,,arista,x_5,target_y,0.7175766948545943,0.2824233051454057
df_original_directa_MST,,,arista,x_6,x_21,0.7122740163434091,0.28772598365659086
df_original_directa_MST,,,arista,x_7,x_11,0.700169380669879,0.299830619330121
df_original_directa_MST,,,arista,x_7,x_24,0.7004484575010463,0.29955154249895366
df_original_directa_MST,,,arista,x_7,x_21,0.7046404768265982,0.29535952317340175
df_original_directa_MST,,,arista,x_9,x_21,0.7064877468294011,0.2935122531705989
df_original_directa_MST,,,arista,x_10,x_24,0.7083853565274523,0.29161464347254773
df_original_directa_MST,,,arista,x_11,x_37,0.7036625948899533,0.2963374051100467
df_original_directa_MST,,,arista,x_11,x_32,0.704523204281147,0.295476795718853
df_original_directa_MST,,,arista,x_11,x_20,0.7070757421373706,0.29292425786262943
df_original_directa_MST,,,arista,x_11,x_31,0.7088180377781219,0.2911819622218781
df_original_directa_MST,,,arista,x_11,x_27,0.7111042229807989,0.2888957770192011
df_original_directa_MST,,,arista,x_12,x_21,0.7014097967385965,0.2985902032614035
df_original_directa_MST,,,arista,x_15,x_24,0.7001896919070444,0.2998103080929556
df_original_directa_MST,,,arista,x_16,x_24,0.7013631094241615,0.29863689057583853
df_original_directa_MST,,,arista,x_17,x_21,0.7046746361299772,0.29532536387002284
df_original_directa_MST,,,arista,x_17,x_39,0.726534180244845,0.27346581975515505
df_original_directa_MST,,,arista,x_18,target_y,0.7270510803696254,0.2729489196303746
df_original_directa_MST,,,arista,x_21,x_34,0.7004260942719548,0.2995739057280452
df_original_directa_MST,,,arista,x_21,x_30,0.7016065062046386,0.2983934937953614
df_original_directa_MST,,,arista,x_21,x_35,0.7084145587137917,0.29158544128620834
df_original_directa_MST,,,arista,x_22,x_24,0.7277689945055367,0.27223100549446333
df_original_directa_MST,,,arista,x_24,x_36,0.7162715049708998,0.28372849502910025
df_original_directa_MST,,,arista,x_32,x_33,0.7819836363503018,0.21801636364969823
df_original_directa_MST,,,arista,x_38,target_y,0.8014310307716603,0.19856896922833966
