x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
51,E,0.1455677586525011,51,A,0.0670326023063251,91,E,0.2107873309090469,17,-11978.588530903891
92,E,0.8311389644353826,0,A,0.0626486180417936,57,D,0.5441880004449542,12,-4828.723450945225
14,A,0.3486978953616366,13,D,0.4381081937059371,53,B,0.0028089353841875,72,-2251.2265277631086
71,D,0.4001495539058451,93,C,0.5855701734812767,33,D,0.921098637797728,28,-2119.231417727125
60,B,0.8940546127021446,84,D,0.6085329847811904,27,C,0.5311209005976835,55,-1551.0461549368265
20,D,0.4966238140631713,20,C,0.0363860864218,60,E,0.8960772037336876,73,-251.50548131125836
82,D,0.5442539093508629,33,B,0.6967399540044444,65,D,0.3449652146464546,19,184.49895275748716
86,D,0.9564981247770984,89,D,0.1299260001071164,65,E,0.1499299221530098,28,656.9855788896093
74,A,0.8867263831449892,13,B,0.9553449799797216,36,A,0.1922925524018615,5,706.8267025641035
74,A,0.1694667088884395,39,A,0.3335487546771066,15,E,0.4707323860854996,25,899.505385859884
87,B,0.473215029918105,34,D,0.2614450314852942,71,D,0.040268903999434,60,1297.1729515730476
99,D,0.9712962274285456,41,A,0.2912660173693837,74,E,0.7818041075066873,85,1306.308254842581
23,A,0.3723662982286027,81,E,0.9373534403607038,44,C,0.7906365850345982,42,1676.2506537839363
2,B,0.3715731085162,19,A,0.4828412105179109,14,C,0.7019550284932529,46,2054.6947636262703
21,B,0.1950302317891543,59,E,0.4346797505919058,3,D,0.8963398155942028,25,2057.739765306833
52,D,0.1143231141191252,8,C,0.5658982181152818,22,D,0.5494772599079947,80,2237.9620810180786
1,C,0.7403047907559818,32,E,0.9307619030409772,71,E,0.4793194789591736,0,2449.800522249629
87,D,0.7700304687015165,48,C,0.3083398629297077,79,B,0.529175762658921,94,3098.655303464082
29,C,0.969012963503,67,E,0.1808200103912081,15,C,0.181953671008111,72,3134.0283697922423
37,B,0.773418210905363,3,E,0.5954909327812495,87,C,0.5122912614280462,25,3562.2953865925083
1,A,0.2433524940335987,47,B,0.4916747722879234,52,A,0.5417570196601162,63,3637.004057980456
63,E,0.0401165782885154,15,B,0.0619682655016635,9,A,0.7645898535399749,61,3746.694785693872
59,B,0.9854373843696602,46,A,0.5219373248674412,33,B,0.3479194563082514,5,3831.833411726912
20,A,0.3404506955436057,25,B,0.5624178761835706,17,C,0.0922270861017344,61,4073.58483664519
32,B,0.3119715424324207,69,C,0.6941506101778825,52,D,0.5974625053080209,65,4152.186367363633
75,D,0.9059552097493824,36,B,0.9955420795923984,15,C,0.7879582873690956,41,4521.374114987404
57,C,0.5850998985449861,21,A,0.4215809485009147,99,D,0.9695597145386746,26,4755.1965787071895
21,B,0.2148711738491345,6,D,0.5102032729873973,61,D,0.0902545661886891,64,4838.532458938236
88,A,0.8890962427162395,41,C,0.0750023120253448,51,B,0.7463511451435714,29,4984.134980215487
48,D,0.9933608550547434,29,D,0.8315880675701003,56,C,0.5958400632663685,81,5081.367800818851
90,E,0.0866785611508307,73,C,0.0981557972740345,71,E,0.0153371818425621,97,5085.848184524984
58,D,0.8622516283024872,78,A,0.9338300222934068,63,C,0.7182416048066544,84,5337.341408217784
41,C,0.390515697684394,5,B,0.3485003419771237,83,C,0.0262012538716299,64,5478.619874511351
91,D,0.5240724465067044,23,D,0.33758246801612,22,A,0.7852561597234252,46,5511.567623369156
